ces_disadvantage_decile,count,mean,median
1,229,12.548428230631778,7.896479377352721
2,230,10.9532310394759,6.375898746028454
3,230,9.119153811567395,6.2289458840639735
4,229,10.885050960624694,6.633307720933072
5,230,8.55515932073032,5.686832396932298
6,230,7.556886894836945,5.402358901023482
7,229,7.266891743452955,5.3466300719068425
8,230,6.463910151883207,5.207724094379528
9,230,5.21098647593472,4.883018049420656
10,230,5.6727411838134785,5.497010842061982
