disadvantage_quartile,n,mean_access_change,mean_S2_delta,median_walk_min_venue,share_30min_walk_venue,share_30min_transit,mean_poverty,mean_no_vehicle
1,579,0.03551548925363749,0.029185018482149768,122.69410227276715,0.055267702936096716,0.03454231433506045,0.059421657879606744,0.031468235083527266
2,580,0.032504858407161066,0.026765560755178858,111.35025114638192,0.041379310344827586,0.05,0.10049054174701912,0.056489585068319755
3,580,0.03063072387377161,0.025552150254514093,108.63486730658204,0.039655172413793106,0.05862068965517241,0.16637884520769589,0.08735914547001276
4,580,0.0319325001697443,0.02827601172274686,78.04440441175748,0.11896551724137931,0.12413793103448276,0.2822506147548823,0.1809366349170646
