geoid10,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle
06037186202,"Census Tract 1862.02, Los Angeles County, California",2007.0,95089.0,711.0,21.0,0.029535864978902954
06037186203,"Census Tract 1862.03, Los Angeles County, California",3416.0,114461.0,1116.0,8.0,0.007168458781362007
06037186301,"Census Tract 1863.01, Los Angeles County, California",2906.0,53125.0,889.0,47.0,0.052868391451068614
06037186302,"Census Tract 1863.02, Los Angeles County, California",5096.0,78264.0,1849.0,81.0,0.043807463493780424
06037186401,"Census Tract 1864.01, Los Angeles County, California",3489.0,41450.0,1001.0,137.0,0.13686313686313686
06037186403,"Census Tract 1864.03, Los Angeles County, California",2698.0,59861.0,835.0,120.0,0.1437125748502994
06037186404,"Census Tract 1864.04, Los Angeles County, California",2631.0,62083.0,772.0,59.0,0.07642487046632124
06037187101,"Census Tract 1871.01, Los Angeles County, California",3438.0,76522.0,1228.0,78.0,0.06351791530944625
06037187102,"Census Tract 1871.02, Los Angeles County, California",3739.0,56683.0,1379.0,85.0,0.06163886874546773
06037187200,"Census Tract 1872, Los Angeles County, California",2963.0,76042.0,933.0,42.0,0.04501607717041801
06037187300,"Census Tract 1873, Los Angeles County, California",3597.0,112250.0,1515.0,21.0,0.013861386138613862
06037188100,"Census Tract 1881, Los Angeles County, California",3918.0,62500.0,1720.0,143.0,0.08313953488372093
06037188201,"Census Tract 1882.01, Los Angeles County, California",3473.0,81475.0,1811.0,49.0,0.027056874654886803
06037188202,"Census Tract 1882.02, Los Angeles County, California",2426.0,113267.0,1171.0,24.0,0.02049530315969257
