geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037101110,23.8123106177513,46.2808875441251,5,29.0728064716864,55.6858295511851,4283
06037101122,13.1691830927504,20.839636913767,3,19.5021779713752,25.441250630358,3405
06037101210,26.1123745296661,51.1346444780635,6,28.4007467330429,64.6243066061523,6347
06037101220,30.6428279500518,59.947049924357,6,36.6521468574984,71.482602118003,3702
06037101300,19.8573083282636,37.1533030761473,4,55.7311761045426,27.6096822995461,3884
06037101400,27.0697779959916,53.1770045385779,6,61.3192283758556,44.112455874937,3458
06037102103,33.59478120157,65.1664145234493,7,74.1132545115121,52.8240040342915,1763
06037102104,31.9066493468992,62.2541603630862,7,94.1754822650902,35.3252647503782,3721
06037102105,47.8154390008163,85.2748361069087,9,98.5812072184194,55.4841149773071,1905
06037102107,34.9458420594881,67.4609178013112,7,83.2856253889234,49.8487140695915,4349
06037103101,19.6284587674524,36.5607665153807,4,33.9763534536403,38.1492687846697,2428
06037103102,25.7969841613302,50.5799293998991,6,34.1132545115121,57.8416540595058,4734
06037103200,30.6472212847639,59.9722642460918,6,70.0435594275047,48.0837115481594,6349
06037103300,19.5229381087372,36.2581946545638,4,54.6484131922838,27.2062531517902,3781
06037103400,21.3011792414592,40.5446293494705,5,52.9184816428127,33.2829046898638,6416
06037104103,35.3928138419885,68.166918809884,7,73.3291848164281,56.9591527987897,3431
06037104105,40.1179960583544,75.1512859304085,8,57.4113254511512,80.0680786686838,6054
06037104108,38.7682366702126,73.171961674231,8,73.1176104542626,65.4563792233989,6001
06037104124,29.7853722574606,58.2829046898638,6,52.4953329184816,56.4926878466969,3875
06037104201,47.2459393188177,84.7327281896117,9,88.8114499066584,70.9657085224407,4569
06037104203,42.7442934247152,79.0721129601614,8,68.823895457374,77.8870398386283,5441
06037104204,42.9080284005957,79.3368633383762,8,80.4107031736154,69.7302067574382,3679
06037104310,56.8591450723015,93.8350983358548,10,97.2993154947106,75.0630358043369,4962
06037104320,57.5266256893941,94.2259203227433,10,94.6857498444306,82.0600100857287,5292
06037104401,63.2579226274817,97.2012102874433,10,96.0547604231487,88.6913767019667,3270
