geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037550202,-0.205704588,0.369319641,2,No,0.6306803590000001,79.8,5710
06037550300,-0.204461583,0.370731707,2,No,0.629268293,77.6,8421
06037550400,,,,,,,1226
06037550500,0.20976482,0.609627728,3,No,0.390372272,81.3,8316
06037550601,-0.292579737,0.323491656,2,No,0.6765083439999999,82.7,5960
06037550602,0.178869403,0.592041078,3,No,0.40795892199999995,81.3,4328
06037550700,0.268046572,0.646469833,3,No,0.35353016699999995,82.8,6104
06037550800,0.057691128,0.522978177,3,No,0.47702182299999996,82.8,7403
06037550901,-0.303975273,0.314634146,2,No,0.685365854,77.1,4141
06037550902,-0.186850336,0.381899872,2,No,0.618100128,81.6,5803
06037551000,0.175737197,0.590885751,3,No,0.40911424900000004,82.5,7281
06037551101,-0.432843439,0.24801027,1,Yes,0.75198973,80.8,3964
06037551102,-0.427742578,0.250706033,2,No,0.7492939670000001,75.9,5427
06037551201,-0.179251904,0.386264442,2,No,0.613735558,81.3,3272
06037551202,-0.303586299,0.315019255,2,No,0.6849807450000001,76.7,7840
06037551300,-0.388541649,0.271501926,2,No,0.728498074,79.3,5449
06037551401,-0.248149343,0.345956354,2,No,0.654043646,81.1,4582
06037551402,-0.064981876,0.450962773,2,No,0.549037227,80.3,4677
06037551501,0.101689604,0.550962773,3,No,0.44903722700000004,81.4,4596
06037551502,-0.112084351,0.423363286,2,No,0.5766367139999999,84.0,4898
06037551600,,,,,,,31
06037551700,-0.155192368,0.398202824,2,No,0.601797176,81.1,6262
06037551800,0.096065874,0.5478819,3,No,0.45211809999999997,78.1,7267
06037551900,-0.131839962,0.412066752,2,No,0.587933248,77.3,5203
06037552001,-0.194139749,0.377021823,2,No,0.622978177,78.6,4188
06037552002,-0.33077594,0.301540436,2,No,0.698459564,83.5,3409
06037552100,-0.280387302,0.331707317,2,No,0.668292683,85.4,6624
06037552200,-0.616561266,0.159050064,1,Yes,0.840949936,77.4,5686
06037552301,0.105942915,0.553273427,3,No,0.44672657299999996,82.8,4482
06037552302,0.099638152,0.549293967,3,No,0.450706033,79.2,4107
06037552400,-0.352183916,0.290757381,2,No,0.7092426190000001,76.9,2423
06037552601,-0.197573624,0.37406932,2,No,0.62593068,82.8,5260
06037552602,-0.455026449,0.236328626,1,Yes,0.763671374,79.6,4416
06037552700,-0.202301338,0.371887035,2,No,0.628112965,80.0,6819
06037552800,-0.347202921,0.292426187,2,No,0.707573813,83.1,6198
06037552900,-0.201742292,0.372400513,2,No,0.627599487,78.9,7156
06037553000,-0.05462639,0.458023107,2,No,0.541976893,78.7,5033
06037553100,-0.066600431,0.449807445,2,No,0.550192555,80.3,6770
