geoid10,z_poverty,z_income_inv,z_no_vehicle,z_rent_burden,z_overcrowd,z_ces,n_components,disadvantage_index,disadvantage_decile,disadvantage_quartile,poverty_rate,median_hh_income,pct_no_vehicle,pct_rent_burden_30plus,pct_overcrowded,ces_percentile,pct_hispanic,pct_nh_black,pct_nh_asian,pct_nh_white,population
06037101110,-0.1307013802198273,0.28128527474923587,-0.31710209796510447,0.47329435994943175,-0.8179251860775683,-0.7609055673494035,6,-0.21200909948553934,5,2,0.1382698298586149,63534.0,0.0615873015873015,0.5997267759562842,0.0380952380952381,46.2808875441251,0.2773756712584637,0.0044361428904973,0.0772822787765584,0.6107868316600513,4283
06037101122,-1.071241030938696,-0.49675956067473315,-0.9586174408390948,1.7508053997190276,-0.8880442989851742,-1.7302350701026843,6,-0.5656820003035591,3,1,0.0384729209825392,90389.0,0.0060975609756097,0.7666666666666667,0.0304878048780487,20.839636913767,0.0431718061674008,0.0217327459618208,0.0646108663729809,0.84640234948605,3405
06037101210,1.0582273910240134,0.8448209326837591,0.26438897004712864,0.8523606730510085,-0.05352392786164627,-0.5759740219777453,6,0.3983833361610863,7,3,0.264422317053896,44083.0,0.1118850674793208,0.6492616033755274,0.1210274270787984,51.1346444780635,0.4121632267212856,0.0311958405545927,0.0765716086340003,0.4704584843233023,6347
06037101220,0.05546018328840036,0.8555405971450091,-0.03232875947964876,1.1251978335389554,-0.09586876234847996,-0.24021519025101473,6,0.27796431698220353,7,3,0.1580226904376013,43713.0,0.086219602063375,0.6849148418491484,0.1164333087693441,59.947049924357,0.3684494867639114,0.0235008103727714,0.0921123716909778,0.4894651539708265,3702
06037101300,-0.8961973655890474,-0.24722315525650024,-0.6370782092987507,-0.45097260731948385,-0.8692583257100782,-1.108672940983384,6,-0.701567100692874,2,1,0.0570461057567074,81776.0,0.0339100346020761,0.4789473684210526,0.0325259515570934,37.1533030761473,0.0764675592173017,0.0527806385169927,0.0499485066941297,0.8048403707518023,3884
06037101400,-0.7040302180010704,-0.05493555247456455,-0.1417745693925028,0.5379298565007852,-0.9105667136913911,-0.49815867041875966,6,-0.2952559779129172,4,2,0.0774361948955916,75139.0,0.0767527675276752,0.6081730769230769,0.0280442804428044,53.1770045385779,0.1709080393290919,0.0026026604973973,0.1182764603817235,0.656737998843262,3458
06037102103,-0.9794427254797117,-0.10401423246742263,-0.9288715306786879,-0.24017520388983898,-0.8360652539846102,-0.04135373626694209,6,-0.5216537804612023,3,2,0.0482132728304027,76833.0,0.0086705202312138,0.5064935064935064,0.0361271676300578,65.1664145234493,0.2013613159387408,0.0141803743618831,0.127056154282473,0.6273397617697107,1763
06037102104,-0.28949955307176223,-0.2186277260044631,-0.16438805694884434,-0.7823558825879585,-1.0041958066260157,-0.1523126634899395,6,-0.43522994812149723,3,2,0.1214203894616265,80789.0,0.0747967479674796,0.4356435643564356,0.0178861788617886,62.2541603630862,0.137597420048374,0.0196183821553345,0.0943294813222252,0.6901370599301263,3721
06037102105,0.3273952997553338,0.45279990612923576,-0.9670666001663986,1.00540418536882,-0.2127113223360278,0.7247912374156535,6,0.2217687843611028,7,3,0.1868766404199475,57614.0,0.0053667262969588,0.669260700389105,0.1037567084078712,85.2748361069087,0.673490813648294,0.0073490813648293,0.0650918635170603,0.2241469816272966,1905
06037102107,-0.48113758117361244,-1.0468232078674151,-0.719672514782322,-0.19125193657471637,-0.8401156099586553,0.046068448817845734,6,-0.5388220669231459,3,2,0.1010864430798299,109375.0,0.0267657992565055,0.5128865979381443,0.0356877323420074,67.4609178013112,0.2747758105311566,0.0158657162566107,0.0915152908714647,0.5989882731662451,4349
